"taxonomy1","numar_mapari"
"Accountants / Auditors","29"
"Advertising Agencies","31"
"Advertising Sign Rental & Lease","4"
"Agricultural Associations (Breeders / Racing / Growers / 4 H Clubs)","5"
"Air Conditioning Equipment Manufacturing (incl Heat Pumps) - Residential","2"
"Air Duct Cleaning","6"
"Aircraft Maintenance / Repair / Storage (incl Hangars)","3"
"Alarm Systems Manufacturing (Fire / Burglary / Carbon Monoxide / Etc)","3"
"Ambulances (Emergency Service)","3"
"Ambulances (Patient Transfer, Non-Emergency)","7"
"Animal Day Care Providers","5"
"Animal Feed Manufacturing / Processing (No Pet Food)","4"
"Animal Groomers","9"
"Animal Trainers","4"
"Animal Wellness Centres","2"
"Appliance Manufacturing - Household (Small - e.g. Blenders / Toasters)","5"
"Appraisers (No Auto Appraisers)","5"
"Architects","18"
"Arenas - Skating (Ice / Hockey / Roller)","5"
"Athletic Equipment Manufacturing (Non-Protective, No Firearms)","2"
"Auctioneer's Operations","5"
"Auto Appraisal Services","3"
"Auto Body / Paint Shops","37"
"Auto Dealer (New)","4"
"Auto Dealer (Used)","48"
"Auto Dismantling / Salvage","3"
"Auto Engine Rebuilding","7"
"Auto Parts Manufacturing (Non-Operating - Bodies / Reefers / Accessories / Etc)","8"
"Auto Parts Manufacturing (Not Otherwise Classified)","7"
"Auto Parts Manufacturing (Wheels / Brakes / Steering)","3"
"Auto Repair Garage (incl heavy trucks)","52"
"Auto Repair Garage (No heavy trucks)","99"
"Auto Specialty Shops (Auto Detail / Glass / Lube)","52"
"Auto Specialty Shops (Mufflers / Transmissions / Radiators)","18"
"Auto Specialty Shops (Not Otherwise Classified)","26"
"Automatic Fire Extinguishing Systems - Installation / Servicing (incl. Sprinklers / Hoods)","6"
"Automobile Storage","4"
"Baked Goods / Pasta Manufacturing","25"
"Banks / Trust Companies (Accepting Deposits)","2"
"Banquet Halls","3"
"Bars / Taverns (No Live Entertainment / Dancing, Not in Hotel)","4"
"Beauty Parlours / Barber Shops (Hairstyling / Manicures / Pedicures Only, No Estheticians)","38"
"Beauty Salons / Day Spas / Estheticians","14"
"Bed & Breakfast Tourist Home","7"
"Bedding / Mattress / Quilt Manufacturing","5"
"Beverage Manufacturing / Processing (Non-Alcoholic)","17"
"Boat Building - Non-motorized, not wood","3"
"Boat Dealers","8"
"Boat Repair Shop (incl Marine Railway)","9"
"Boilers- Installation (incl Plumbing / Steam Fitting)","3"
"Boilers / Pressure Vessels Manufacturing","2"
"Bookkeeping Services","11"
"Boxes / Barrels / Crates / Pallets Manufacturing (Wood)","7"
"Boy Scouts / Girl Guides / Similar Organizations","2"
"Breweries / Wineries / Vinegar Distillers","14"
"Brick / Clay Manufacturing","3"
"Building Management / Property Management","16"
"Building Owner - Multiple Occupancy - Mixed-Use Commercial","66"
"Building Owner - Multiple Occupancy - Office","48"
"Building Owner - Multiple Occupancy - Retail (Enclosed Mall)","3"
"Building Owner - Multiple Occupancy - Retail (Not Enclosed Mall)","31"
"Building Owner - Multiple Occupancy - Warehouse / Wholesale","26"
"Building Owner - Residential - Apartments (No Retail Occupancy)","11"
"Building Owner - Residential - Apartments (With Retail Occupancy)","4"
"Building Owner - Residential - One or Two Family Dwellings (Not Townhouse)","13"
"Building Owner - Residential - Retirement Homes / Apartments for Seniors (No Nursing Homes)","4"
"Building Owner - Single Occupancy - Office","37"
"Building Owner - Single Occupancy - Retail","62"
"Building Owner - Single Occupancy - Warehouse / Wholesale","29"
"Building Owners Risk Only - Mfg., Industrial or Wholesale: more than 5 tenants","12"
"Building Owners Risk Only - Mfg., Industrial or Wholesale: up to 5 tenants","13"
"Burglar / Fire Alarm Installation (No Monitoring)","14"
"Burglar / Fire Alarm Monitoring Operations (incl. Installation)","4"
"Burlap / Canvas / Awnings / Tents / Sails Manufacturing","21"
"Business Improvement Associations / Chambers of Commerce","13"
"Business Incubator","9"
"Business Services - Not Otherwise Classified","141"
"Call Centres - No Dispatch","5"
"Campgrounds / Trailer Parks","7"
"Canning and Preserving (Meat / Fish / Fruit / Vegetables)","24"
"Car / Truck Rental","6"
"Car Wash (Drive Through)","8"
"Car Wash (Self Serve)","8"
"Carpentry (incl. Wood Shop Operations)","43"
"Carpentry, trim and millwork (No Wood Shop)","70"
"Carpet / Rug Manufacturing","2"
"Catering (incl Liquor Serving)","3"
"Catering (No Liquor Serving)","36"
"Cement / Concrete / Plaster Products Manufacturing (No Ready Mix Concrete)","11"
"Chemical Manufacturing (Not Flammable/Carcinogenic/Environmentally Harmful)","11"
"Chimney Sweep","3"
"Chiropractors","9"
"Churches / Synagogues / Temples / Mosques","14"
"Circuit Board / Electrical Component / Semi-Conductor Manufacturing","11"
"Cleaning of Sewers / Drains (Commercial)","5"
"Cleaning of Sewers / Drains (Residential)","10"
"Cleaning of Streets","4"
"Clinics - Not Otherwise Classified (No Doctors or Dentists Offices)","21"
"Clothing Alteration / Tailor / Seamstress","18"
"Clothing Manufacturing (Accessories / Misc)","18"
"Clothing Manufacturing (Children's Wear)","2"
"Clothing Manufacturing (Men's / Women's Wear)","25"
"Cloud Computing","3"
"Clubs - Private (Not Recreational)","9"
"Coaching / Career Consultants","28"
"Coffee / Tea / Spice Processing","13"
"Collection Agencies (no repossessions)","3"
"Commercial Printing","52"
"Commodity Brokers / Dealers","12"
"Communication Equipment Installation - Commercial","15"
"Communication Equipment Installation - Residential","24"
"Communications Equipment Manufacturing (Outside)","3"
"Community / Civic / Special Interest Groups (Non-Medical)","108"
"Community Centres","25"
"Concrete Manufacturing - Precast for Construction","6"
"Concrete Pumping Operations","5"
"Condominium Corporation - Multiple Occupancy - Mixed-Use Commercial","5"
"Condominium Corporation - Multiple Occupancy - Office","2"
"Condominium Corporation - Multiple Occupancy - Retail","2"
"Condominium Unit Owner (Rented to others) - Single Occupancy - Office","20"
"Condominium Unit Owner (Rented to others) - Single Occupancy - Retail","8"
"Confectionery Manufacturing","19"
"Construction - Commercial New - low rise - 3 stories or less","28"
"Construction - Concrete Foundations and Forming (High Rise)","2"
"Construction - Concrete Foundations and Forming (low rise - 3 stories or less)","28"
"Construction - Docks / Piers / Jetties / Breakwaters / Levees","5"
"Construction - Driveways / Parking Areas (Commercial)","10"
"Construction - Driveways / Parking Areas (Residential)","24"
"Construction - Electric / Telephone / Power Lines (Above Ground)","9"
"Construction - Fences / Decks","48"
"Construction - Irrigation / Drainage / Sprinkler Systems (Commercial - No Fire Extinguishing)","8"
"Construction - Irrigation / Drainage / Sprinkler Systems (Underground - Residential - No Fire Extinguishing)","6"
"Construction - Mobile Homes / Prefabricated Housing (No Shop)","5"
"Construction - New Industrial","3"
"Construction - Pipelines","2"
"Construction - Residential New (Singles / Semis)","58"
"Construction - Residential New (Townhouses / Apartments / Condos) - High Rise","3"
"Construction - Residential New (Townhouses / Apartments / Condos) - low rise - 3 stories or less","14"
"Construction - Road / Street / Highway","8"
"Construction - Sidewalks","9"
"Construction - Water / Sewer / Pipeline - Retrofit","7"
"Construction - Water / Sewer / Pipeline - Virgin Land","2"
"Conveyor Systems - Installation","3"
"Copying / Duplicating Service (Quick Printers)","13"
"Copywriters","9"
"Cosmetics / Perfumes / Hair / Skin Preparations Manufacturing","4"
"Court Reporters & Transcription Services","2"
"Credit Unions / Caisses Populaires / Savings & Loan","2"
"Curling Clubs","4"
"Currency Brokers / Exchanges","2"
"Dairy Products / Eggs / Honey / Creameries","8"
"Dance / Gymnastic / Martial Arts Schools","32"
"Data Processing Centres / Server Farms","9"
